[OUTPUT] [DEBUG DLIOBenchmark.__init__] After LoadConfig:
[OUTPUT]   storage_type   = <StorageType.LOCAL_FS: 'local_fs'>
[OUTPUT]   storage_root   = './'
[OUTPUT]   storage_options= None
[OUTPUT]   data_folder    = '/mnt/glfs/GalaxSphere-2Tier0/training/unet3d'
[OUTPUT]   framework      = <FrameworkType.PYTORCH: 'pytorch'>
[OUTPUT]   num_files_train= 196000
[OUTPUT]   record_length  = 146600628
[OUTPUT]   generate_data  = False
[OUTPUT]   do_train       = True
[OUTPUT]   do_checkpoint  = False
[OUTPUT]   epochs         = 5
[OUTPUT]   batch_size     = 7
[OUTPUT] 2026-07-13T11:58:28.746083 Running DLIO [Training] with 48 process(es)
[OUTPUT] 2026-07-13T11:58:28.769243 skip_listing [train]: validating 196,000 of 196,000 files (first, last, every 1) via HEAD requests ...
[OUTPUT] 2026-07-13T11:58:28.775696 skip_listing [train]:   500/196,000 checked (0%)  —  79066 checks/s  —  ETA 2s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.777802 skip_listing [train]:   1,000/196,000 checked (1%)  —  118610 checks/s  —  ETA 2s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.779868 skip_listing [train]:   1,500/196,000 checked (1%)  —  142887 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.782576 skip_listing [train]:   2,000/196,000 checked (1%)  —  151454 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.786062 skip_listing [train]:   2,500/196,000 checked (1%)  —  149777 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.788664 skip_listing [train]:   3,000/196,000 checked (2%)  —  155492 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.790709 skip_listing [train]:   3,500/196,000 checked (2%)  —  164019 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.793438 skip_listing [train]:   4,000/196,000 checked (2%)  —  166197 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.796528 skip_listing [train]:   4,500/196,000 checked (2%)  —  165701 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.800307 skip_listing [train]:   5,000/196,000 checked (3%)  —  161620 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.802954 skip_listing [train]:   5,500/196,000 checked (3%)  —  163770 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.805616 skip_listing [train]:   6,000/196,000 checked (3%)  —  165538 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.807994 skip_listing [train]:   6,500/196,000 checked (3%)  —  168289 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.810028 skip_listing [train]:   7,000/196,000 checked (4%)  —  172170 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.812046 skip_listing [train]:   7,500/196,000 checked (4%)  —  175744 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.814520 skip_listing [train]:   8,000/196,000 checked (4%)  —  177189 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.816545 skip_listing [train]:   8,500/196,000 checked (4%)  —  180182 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.818557 skip_listing [train]:   9,000/196,000 checked (5%)  —  182974 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.821667 skip_listing [train]:   9,500/196,000 checked (5%)  —  181654 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.823695 skip_listing [train]:   10,000/196,000 checked (5%)  —  184079 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.826274 skip_listing [train]:   10,500/196,000 checked (5%)  —  184522 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.828284 skip_listing [train]:   11,000/196,000 checked (6%)  —  186715 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.830289 skip_listing [train]:   11,500/196,000 checked (6%)  —  188777 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.832673 skip_listing [train]:   12,000/196,000 checked (6%)  —  189566 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.835304 skip_listing [train]:   12,500/196,000 checked (6%)  —  189584 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T11:58:28.838509 skip_listing [train]:   13,000/196,000 checked (7%)  —  188028 checks/s  —  ETA 1s  —  0 failed so far
