[OUTPUT] [DEBUG DLIOBenchmark.__init__] After LoadConfig:
[OUTPUT]   storage_type   = <StorageType.LOCAL_FS: 'local_fs'>
[OUTPUT]   storage_root   = './'
[OUTPUT]   storage_options= None
[OUTPUT]   data_folder    = '/mnt/glfs/GalaxSphere-1Tier0/training/unet3d'
[OUTPUT]   framework      = <FrameworkType.PYTORCH: 'pytorch'>
[OUTPUT]   num_files_train= 105000
[OUTPUT]   record_length  = 146600628
[OUTPUT]   generate_data  = False
[OUTPUT]   do_train       = True
[OUTPUT]   do_checkpoint  = False
[OUTPUT]   epochs         = 5
[OUTPUT]   batch_size     = 7
[OUTPUT] 2026-07-13T09:56:27.420723 Running DLIO [Training] with 26 process(es)
[OUTPUT] 2026-07-13T09:56:27.439922 skip_listing [train]: validating 105,000 of 105,000 files (first, last, every 1) via HEAD requests ...
[OUTPUT] 2026-07-13T09:56:27.442832 skip_listing [train]:   500/105,000 checked (0%)  —  178435 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.444904 skip_listing [train]:   1,000/105,000 checked (1%)  —  205171 checks/s  —  ETA 1s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.446954 skip_listing [train]:   1,500/105,000 checked (1%)  —  216603 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.448989 skip_listing [train]:   2,000/105,000 checked (2%)  —  223202 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.451020 skip_listing [train]:   2,500/105,000 checked (2%)  —  227447 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.453052 skip_listing [train]:   3,000/105,000 checked (3%)  —  230359 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.455083 skip_listing [train]:   3,500/105,000 checked (3%)  —  232485 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.457109 skip_listing [train]:   4,000/105,000 checked (4%)  —  234181 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.459131 skip_listing [train]:   4,500/105,000 checked (4%)  —  235564 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.461150 skip_listing [train]:   5,000/105,000 checked (5%)  —  236731 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.463164 skip_listing [train]:   5,500/105,000 checked (5%)  —  237731 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.465180 skip_listing [train]:   6,000/105,000 checked (6%)  —  238557 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.467196 skip_listing [train]:   6,500/105,000 checked (6%)  —  239252 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.469207 skip_listing [train]:   7,000/105,000 checked (7%)  —  239904 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.471214 skip_listing [train]:   7,500/105,000 checked (7%)  —  240494 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.473227 skip_listing [train]:   8,000/105,000 checked (8%)  —  240974 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.475238 skip_listing [train]:   8,500/105,000 checked (8%)  —  241414 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.477240 skip_listing [train]:   9,000/105,000 checked (9%)  —  241861 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.479245 skip_listing [train]:   9,500/105,000 checked (9%)  —  242246 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.481249 skip_listing [train]:   10,000/105,000 checked (10%)  —  242597 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.483251 skip_listing [train]:   10,500/105,000 checked (10%)  —  242929 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.485254 skip_listing [train]:   11,000/105,000 checked (10%)  —  243228 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.487257 skip_listing [train]:   11,500/105,000 checked (11%)  —  243499 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.489261 skip_listing [train]:   12,000/105,000 checked (11%)  —  243739 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.491278 skip_listing [train]:   12,500/105,000 checked (12%)  —  243906 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.493291 skip_listing [train]:   13,000/105,000 checked (12%)  —  244072 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.495305 skip_listing [train]:   13,500/105,000 checked (13%)  —  244228 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.497311 skip_listing [train]:   14,000/105,000 checked (13%)  —  244405 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.499323 skip_listing [train]:   14,500/105,000 checked (14%)  —  244543 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.501337 skip_listing [train]:   15,000/105,000 checked (14%)  —  244663 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.503349 skip_listing [train]:   15,500/105,000 checked (15%)  —  244787 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.505355 skip_listing [train]:   16,000/105,000 checked (15%)  —  244922 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.507379 skip_listing [train]:   16,500/105,000 checked (16%)  —  244987 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.509391 skip_listing [train]:   17,000/105,000 checked (16%)  —  245088 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.511398 skip_listing [train]:   17,500/105,000 checked (17%)  —  245205 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.513425 skip_listing [train]:   18,000/105,000 checked (17%)  —  245243 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.515449 skip_listing [train]:   18,500/105,000 checked (18%)  —  245290 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.517478 skip_listing [train]:   19,000/105,000 checked (18%)  —  245320 checks/s  —  ETA 0s  —  0 failed so far
[OUTPUT] 2026-07-13T09:56:27.519492 skip_listing [train]:   19,500/105,000 checked (19%)  —  245396 checks/s  —  ETA 0s  —  0 failed so far
